X,Y,OBJECTID,TRACKING,NAME,TRACKINGNUMBER,PROJECTNAME,OVERALLSTATUSCATEGORY,APPROVALDATE,PROGRAM,SURFACE_INFILTRATION_BASIN,SUBSURFACE_INFILTRATION_BASIN,SURFACE_DETENTION_BASIN,SUBSURFACE_DETENTION_BASIN,BIOINFILTRATION,BIORETENTION,CISTERN,GREEN_ROOF,POROUS_PAVEMENT,WQ_TREATMENT_DEVICE
-75.079427963402537,39.996105873124208,24,2006-0116-01,Betsy Ross Estates,2006-0116-01,Betsy Ross Estates,Verified,2006-11-30T00:00:00.000Z,Regulation,0,15,0,0,0,0,0,0,0,0
-75.05866691949835,40.051359400871057,25,2006-0091-01,Kimco,2006-0091-01,Kimco,Verified,2007-10-10T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.230907083803672,40.030686838473351,26,2006-0128-01,D4 Creative Group,2006-0128-01,D4 Creative Group,Verified,2007-11-08T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.196944309915168,39.956960771991575,27,2006-129-01,Wexford Science Center,2006-129-01,Wexford Science Center,Verified,2006-12-16T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,1,0,0
-75.011366342826534,40.090629678978722,28,2006-0123-01,JEVS Training Facility,2006-0123-01,JEVS Training Facility,Verified,2006-10-02T00:00:00.000Z,Regulation,2,0,0,0,0,0,0,0,0,0
-75.192116209802478,39.925068338515366,29,2006-WILS-151-01,Wilson Park Parking Area Construction,2006-WILS-151-01,Wilson Park Parking Area Construction,Complete,2006-06-09T00:00:00.000Z,Regulation,0,7,0,2,0,0,0,0,0,0
-75.153007661751261,39.906763229553249,30,2006-PREF-176-01,Preferred Freezer Services Inc,2006-PREF-176-01,Preferred Freezer,Verified,2006-05-26T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-74.992116019579129,40.089844276027385,31,2006-ADDI-155-01,Additions and Alterations,2006-ADDI-155-01,Additions & Alterations,Verified,2007-02-14T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.026786407626176,40.057906625573956,32,2006-0118-01,Ashton Rd Subdivision,2006-0118-01,Ashton Rd Subdivision,Verified,2007-04-03T00:00:00.000Z,Regulation,0,6,0,0,0,0,0,0,0,0
-75.001290817978997,40.081481185746149,33,2006-0133-01,Phase II Assembly Expansion,2006-0133-01,Agusta-Phase II Assembly Expansion,Complete,2006-06-13T00:00:00.000Z,Regulation,1,0,0,0,0,0,0,0,0,0
-75.189878643470863,39.909694173045594,34,2006-VILL-194-01,Village of Penrose Park,2006-VILL-194-01,Village at Penrose Park  AKA Siena Place,Construction,2007-08-07T00:00:00.000Z,Regulation,1,9,3,0,0,0,0,0,0,0
-75.16738691776257,39.912743584235272,35,2006-94-01,South Philadelphia Athletic Super Site,2006-94-01,South Philadelphia Athletic Super Site Sitework and Support Facilities,Verified,2007-01-10T00:00:00.000Z,Regulation,0,0,0,3,0,0,0,0,0,0
-75.217724416753526,40.081628251512306,36,2006-NORW-187-01,Norwood-Fontbonne_Fontbonne Campus,2006-NORW-187-01,Norwood-Fontbonne Academy - Fontbonne Campus,Verified,2007-03-20T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.215462608773194,40.080588586433528,37,2006-NORW-185-01,Norwood-Fontbonne_Norwood Campus,2006-NORW-185-01,Norwood-Fontbonne Academy - Norwood Campus,Verified,2007-03-20T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.136875682853685,39.999904099713071,38,2006-132-01,Maria de los Santos,2006-132-01,Maria de los Santos,Verified,2006-12-13T00:00:00.000Z,Regulation,0,0,0,2,0,0,0,0,0,0
-75.152172856978581,39.965348363080444,39,2006-FAIR-175-01,Fairmount Substation,2006-FAIR-175-01,Fairmount Substation,Verified,2006-12-21T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.004751704698378,40.055394475781306,40,2006-PROP-193-01,Proposed Rite Aid,2006-PROP-193-01,Proposed Rite Aid,Verified,2007-06-01T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,2
-75.07537030163094,40.055255816079246,41,2006-SLOA-173-01,Sloan Toyota,2006-SLOA-173-01,Sloane Toyota,Verified,2007-04-25T00:00:00.000Z,Regulation,0,3,0,0,0,0,0,0,0,0
-75.074952131374431,39.994783533023472,42,2006-BRID-200-01,BridgeView Court,2006-BRID-200-01,BridgeView Court,Verified,2007-06-22T00:00:00.000Z,Regulation,0,16,0,0,0,0,0,0,0,0
-75.176609964105666,39.970119071782534,43,2006-STHE-171-01,St. Hedwig's Development,2006-STHE-171-01,24th and Brown St Townhomes,Verified,2007-05-07T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.161888719681826,40.003085155413295,44,2006-96-01,Family Dollar Store #117104,2006-96-01,Family Dollar Store #7719,Verified,2006-10-30T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.141935896071658,39.966956471529386,45,2006-PHIL-205-01,PHILADELPHIA RESIDENTIAL DEVELOPMENT CO.,2006-PHIL-205-01,Liberty Greene,Verified,2006-12-06T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,1,0
-75.1951839442401,39.952669993862074,46,2006-ANNE-209-01,Annenberg Public Policy Center,2006-ANNE-209-01,Annenberg Public Policy Center,Verified,2007-04-24T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.155773809643421,39.980231997311208,47,2006-TEMP-210-01,Temple Fox School of Business,2006-TEMP-210-01,Temple Fox School of Business,Verified,2006-11-21T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,1,0
-75.070035370129915,40.082801676017674,48,2006-VILL-181-01,"Villages at Pine Valley, Pine Views",2006-VILL-181-01,"Villages at Pine Valley, Pine Views",Complete,2007-05-02T00:00:00.000Z,Regulation,0,3,1,0,0,0,0,0,0,0
-75.036306137250676,40.034827069600937,49,2006-EDWI-215-01,Edwin Forrest Primary Education Center,2006-EDWI-215-01,Edwin Forrest Primary Education Center,Verified,2007-02-15T00:00:00.000Z,Regulation,0,0,0,4,0,0,0,0,0,0
-75.154610709731998,40.049253504598688,50,2006-TEMP-197-01,Imhotep Charter School,2006-TEMP-197-01,Imhotep Charter School,Verified,2007-06-12T00:00:00.000Z,Regulation,0,0,0,2,0,0,0,0,1,0
-75.224300904594202,39.979987566875771,51,2005-0099-01,Parkwest Town Center,2005-0099-01,Parkwest Town Center,Verified,2007-01-17T00:00:00.000Z,Regulation,0,0,1,0,0,0,0,0,0,0
-74.988031716002553,40.118447299986542,52,2005-0086-01,Byberry State Hospital,2005-0086-01,Byberry State Hospital/Arbours at Eagle Point Development,Complete,2007-09-28T12:52:26.000Z,Regulation,1,2,1,0,5,0,0,1,0,0
-74.998390401342064,40.08225472897,53,2005-0092-01,Lawler Direct,2005-0092-01,Lawler Direct,Verified,2006-04-07T00:00:00.000Z,Regulation,0,0,1,0,0,0,0,0,0,0
-75.202029311173931,39.966278760194562,54,2006-UNIO-235-01,Union Hill Home Ownership Project,2006-UNIO-235-01,Union Hill Home Ownership Project,Verified,2007-11-01T00:00:00.000Z,Regulation,6,0,0,1,0,0,0,0,1,0
-75.186825876108387,39.962966219948122,55,2006-30TH-236-01,30th Street Switching Station,2006-30TH-236-01,30th Street Switching Station,Verified,2007-07-09T00:00:00.000Z,Regulation,1,0,0,0,0,0,0,0,0,0
-75.107487247338639,39.995001958217763,56,2006-SAFE-234-01,"Safeguard Storage, Inc.",2006-SAFE-234-01,"Safeguard Storage, Inc.",Verified,2007-01-10T00:00:00.000Z,Regulation,0,0,0,1,0,1,0,0,0,0
-75.164542543774587,40.058523852595876,57,2006-PIZZ-242-01,Pizza Hut KFC,2006-PIZZ-242-01,Pizza Hut/KFC,Verified,2006-08-15T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.185778880502923,39.934719933140052,58,2006-PROP-233-01,Proposed Development,2006-PROP-233-01,Proposed Development,Verified,2007-04-05T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.096238375329975,39.985336221471194,59,2006-BCRC-246-01,BCRC ASSOCIATES,2006-BCRC-246-01,BCRC Asssociates,Verified,2007-11-05T00:00:00.000Z,Regulation,0,10,0,0,0,0,0,0,0,0
-75.201467813560598,39.954314598335195,60,2006-WALN-251-01,Walnut Street Mixed Use,2006-WALN-251-01,Walnut Street Mixed Use,Verified,2007-01-23T00:00:00.000Z,Regulation,0,0,0,2,0,0,0,2,1,0
-75.090025429227055,40.073509537871573,61,2006-CANC-260-01,Cancer Research Pavilion Addition & Renovation,2006-CANC-260-01,Cancer Research Pavilion Addition & Renovation,Verified,2007-08-01T00:00:00.000Z,Regulation,0,0,0,0,0,1,0,0,0,0
-75.093288822198687,39.99293502573714,62,2006-BEAZ-250-01,Beazer Homes - Proposed Residential Development,2006-BEAZ-250-01,Beazer Homes - Proposed Residential Development,Verified,2007-01-11T00:00:00.000Z,Regulation,0,0,0,2,0,0,0,0,0,0
-75.240384626757461,39.950939759172961,63,2006-SHAR-259-01,Sharon Baptist Church,2006-SHAR-259-01,Sharon Baptist Church,Complete,2007-02-02T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.212664041039545,40.025664262569755,64,2006-COUR-266-01,Court at Ridgeview,2006-COUR-266-01,Court at Ridgeview,Verified,2006-08-29T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.211417482345325,39.964040018147791,65,2006-ANGE-268-01,Angela Court II - St. Ignatius Nursing Home,2006-ANGE-268-01,Angela Court II - St. Ignatius Nursing Home,Verified,2008-01-07T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.189159571012354,40.038341504095214,66,2006-WOOD-272-01,Wood Norton Apartments,2006-WOOD-272-01,Wood Norton Apartments,Verified,2007-07-25T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.148005437776717,39.96378245993963,67,2006-GENE-192-01,General Kearny School Addition,2006-GENE-192-01,General Kearny School Addition,Verified,2009-11-16T12:21:15.000Z,Regulation,0,0,0,2,0,0,0,0,0,0
-75.21352597469776,39.938892460456948,68,2006-REBA-275-01,Reba Brown Senior Residence,2006-REBA-275-01,Reba Brown Senior Residence,Verified,2007-09-25T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.234046154471713,39.996253439143402,69,2006-STJO-273-01,St. Joseph's University 54th Street Garage,2006-STJO-273-01,St. Joseph's University 54th Street Garage,Verified,2007-02-28T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.197726253221745,39.939229463949466,70,2006-HESS-267-01,Hess Gray's Ferry Avenue,2006-HESS-267-01,Speedway Gray's Ferry Avenue (formerly Hess),Verified,2007-06-29T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.196905623364017,40.039392365479387,71,2006-STRU-281-01,Struzyna Subdivision,2006-STRU-281-01,Struzyna Subdivision,Verified,2007-09-14T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.138638842150769,39.983219784750169,72,2006-CCPO-276-01,C&C Poultry,2006-CCPO-276-01,C&C Poultry,Verified,2006-12-13T00:00:00.000Z,Regulation,1,0,1,0,0,0,0,0,0,0
-75.058604647476045,40.01996470129162,73,2006-LAWT-291-01,Lawton Elementary School Addition,2006-LAWT-291-01,Lawton Elementary School Addition,Verified,2007-01-10T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.126995193457546,40.007338804516394,74,2006-FRON-290-01,Front & Erie - Ronald McDonald House,2006-FRON-290-01,Front & Erie - Ronald McDonald House,Verified,2007-02-13T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.091388456005447,39.997542046594518,75,2006-ARAM-289-01,Aramingo Crossings,2006-ARAM-289-01,Aramingo Crossings,Verified,2007-08-17T00:00:00.000Z,Regulation,0,0,0,1,0,0,1,0,0,2
-75.229222954633784,40.073296233360047,76,2006-8614-256-01,8614 Thomas Mill Terrace,2006-8614-256-01,8614 Thomas Mill Terrace,Verified,2006-12-15T00:00:00.000Z,Regulation,0,6,0,0,0,0,0,0,0,0
-75.212936419740842,40.065653632796796,77,2006-GLEN-286-01,Gleneagles Subdivision,2006-GLEN-286-01,Gleneagles Subdivision,Verified,2007-09-18T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.192130985340825,39.964279702523427,78,2006-MANT-306-01,Mantua Presbyterian Apartments,2006-MANT-306-01,Mantua Presbyterian Apartments,Verified,2007-06-29T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.231105922010883,39.961942931293713,79,2006-BOOT-310-01,BOOTH MANOR 2 ADDITION,2006-BOOT-310-01,Booth Manor 2 Addition,Verified,2008-02-05T00:00:00.000Z,Regulation,0,1,0,1,0,0,0,0,0,0
-75.063204718217065,40.043872931480344,80,2006-SOLI-300-01,Solis-Cohen Elementary School,2006-SOLI-300-01,Solis-Cohen Elementary School,Verified,2008-01-08T00:00:00.000Z,Regulation,0,1,0,0,0,1,0,0,0,0
-75.210837608297197,39.980045368493542,81,2006-PLEA-297-01,Please Touch Museum in Fairmount Park,2006-PLEA-297-01,Please Touch Museum in Fairmount Park,Complete,2007-08-31T00:00:00.000Z,Regulation,0,0,0,3,0,0,0,0,0,0
-75.214156251581969,40.03221454273119,82,2006-ROXB-319-01,Roxborough Ridge Commons,2006-ROXB-319-01,Roxborough Ridge Commons,Verified,2007-05-17T00:00:00.000Z,Regulation,0,0,0,0,0,0,0,0,0,0
-75.151277730635258,39.925961345391464,83,2006-MOOR-320-01,Moore Street Townhouses,2006-MOOR-320-01,Moore Street Townhouses,Verified,2014-05-29T11:57:00.000Z,Regulation,0,1,0,2,0,0,0,0,0,0
-75.165305138819249,39.941228905379653,84,2006-777L-326-01,777 S Broad Street,2006-777L-326-01,777 Lofts,Verified,2007-10-23T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.036797085627924,40.115528875655237,85,2006-OFFI-325-01,Office/Warehouse Rental Units,2006-OFFI-325-01,Office/Warehouse Rental Units,Verified,2006-10-25T00:00:00.000Z,Regulation,2,1,0,0,0,0,0,0,0,0
-75.153511608762145,39.983771560324762,86,2006-TEMP-245-01,Temple Mini Arts Campus,2006-TEMP-245-01,Temple Mini Arts Campus,Verified,2007-03-07T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.238618609779763,39.964346399816527,87,2006-COMM-328-01,Commodore John Barry Elementary School,2006-COMM-328-01,Commodore John Barry Elementary School,Verified,2007-03-22T00:00:00.000Z,Regulation,0,0,0,1,0,0,1,0,2,0
-75.038188622378158,40.077337851749377,88,2006-OLDE-327-01,9211 Old Newton Rd,2006-OLDE-327-01,Olde Newtown,Verified,2008-01-16T00:00:00.000Z,Regulation,0,4,0,0,0,0,0,0,0,0
-75.145491878627411,39.977542676757224,89,2006-LUDL-336-01,Ludlow Hope IV Grant,2006-LUDL-336-01,Ludlow Hope VI Grant,Complete,2007-01-25T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.17432322491193,39.975894108920592,90,2006-VAUX-338-01,Vaux School,2006-VAUX-338-01,Vaux School,Verified,2007-01-16T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.024308510800651,40.034985919700119,91,2006-NEWF-343-01,New Foundations Charter School,2006-NEWF-343-01,New Foundations Charter School,Verified,2007-09-21T00:00:00.000Z,Regulation,0,3,0,0,0,0,0,0,0,0
-75.221717875459518,40.023301550629377,92,2006-VENI-340-01,Venice Island,2006-VENI-340-01,Venice Island,Complete,2011-10-20T17:42:18.000Z,Regulation,0,0,0,0,0,6,0,1,0,0
-75.142511590852564,39.966317256998352,93,2006-9349-349-01,934-950 North Third Street,2006-9349-349-01,934 - 950 North Third Street,Verified,2006-10-20T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.04243658943939,40.058773039692348,94,2006-NAZA-375-01,Nazareth Hospital,2006-NAZA-375-01,Nazareth Hospital Emergency Department Addition & Renovations,Verified,2007-05-03T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.096302397365235,40.013617702101975,95,2006-TWIN-372-01,Twins at Frankford Creek,2006-TWIN-372-01,Twins at Frankford Creek,Verified,2007-07-12T00:00:00.000Z,Regulation,0,13,0,0,0,0,0,0,0,0
-75.00868252864052,40.101555388707602,96,2006-PHIL-330-01,Philadelphia Academy Charter School,2006-PHIL-330-01,Philadelphia Academy Charter School,Verified,2007-08-22T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.049978328747585,40.109058062729801,97,2006-GEIG-390-01,Geiger Road Business Center,2006-GEIG-390-01,Geiger Road Business Center,Verified,2007-11-06T00:00:00.000Z,Regulation,1,1,0,0,0,0,0,0,0,0
-75.20547137851986,39.963094985281295,98,2006-MARS-381-01,Marshall Shepard Village,2006-MARS-381-01,Marshall Shepard Village,Verified,2007-01-18T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.157919028963093,39.976281348086147,99,2006-PROG-400-01,Progress Plaza,2006-PROG-400-01,Progress Plaza,Verified,2007-10-03T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.090113471465742,40.073382421455733,100,2006-NEWP-399-01,New Parking Garage and Link,2006-NEWP-399-01,New Parking Garage and Link,Verified,2008-04-15T00:00:00.000Z,Regulation,0,3,1,0,0,0,0,0,0,0
-75.204679441700719,39.962836597971076,101,2006-MARS-407-01,Marshall Shepard (Part 2 of 2),2006-MARS-407-01,Marshall Shepard (Part 2 of 2),Verified,2007-01-19T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-74.995131137847224,40.059124340202004,102,2006-EDEN-406-01,Eden @ Frankford,2006-EDEN-406-01,Eden at Frankford,Complete,2008-01-24T00:00:00.000Z,Regulation,0,10,0,0,0,0,0,0,0,0
-75.151604901042433,39.953574604717865,103,2006-FEDE-409-01,Federal Reserve Bank of Phila. Recieving Annex,2006-FEDE-409-01,Federal Reserve Bank of Phila. Receiving Annex,Verified,2008-06-25T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,1,0,0
-75.094649740743719,40.027844435143237,104,2006-PASQ-416-01,Pasqualino Basilico (Proposed Garages),2006-PASQ-416-01,Pasqualino Basilico (Proposed Garages),Verified,2007-06-22T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.162667709826962,39.955117069794333,105,2006-PENN-421-01,Pennsylvania Convention Center Expansion,2006-PENN-421-01,Pennsylvania Convention Center Expansion,Verified,2008-03-19T00:00:00.000Z,Regulation,0,0,0,4,0,0,0,0,0,0
-75.037894630777373,40.114727790919687,106,2006-HILL-342-01,Hill Warehouse,2006-HILL-342-01,Hill Warehouse,Verified,2007-08-02T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-74.98214042391028,40.11531733409285,107,2006-PARK-420-01,Park Development Plan for Benjamin Rush State Park,2006-PARK-420-01,Park Development Plan for Benjamin Rush State Park,Verified,2011-07-12T10:25:07.000Z,Regulation,0,0,0,0,0,0,0,0,1,0
-75.133003722866192,39.968457213145967,108,2006-MICH-419-01,1117-1129 Shackamaxon St (through 1114-1132 Day St,2006-MICH-419-01,Shackamaxon Real Estate Development,Verified,2008-01-28T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.215388896203891,39.974932142139274,109,2006-CINT-431-01,Cintas Distribution Center,2006-CINT-431-01,Cintas Distribution Center,Verified,2007-08-31T00:00:00.000Z,Regulation,0,0,1,0,0,0,0,0,0,0
-75.087931264108803,40.057185524293139,110,2006-PILG-444-01,Pilgrim Gardens,2006-PILG-444-01,Pilgrim Gardens,Verified,2008-04-30T00:00:00.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.147154616013296,39.972467977659974,111,2006-HOPE-447-01,Hope VI Ludlow Area Homeownership,2006-HOPE-447-01,Hope VI Ludlow Area Homeownership,Verified,2007-07-05T00:00:00.000Z,Regulation,0,0,0,0,0,0,0,0,1,0
-75.180891444998949,39.965261808956782,112,2006-PHIL-456-01,"Philadelphia Museum of Art, Relocated Parking",2006-PHIL-456-01,"Philadelphia Museum of Art, Relocated Parking",Verified,2007-05-31T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.141581712740503,39.963560693235976,113,2006-LE22-460-01,LE 22 Condominiums,2006-LE22-460-01,LE 22 Condominiums,Verified,2007-09-25T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,2,0
-75.148108283064573,39.950237975540702,114,2006-NATI-441-01,National Museum of American Jewish History,2006-NATI-441-01,National Museum of American Jewish History,Verified,2008-01-29T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.1587395110149,39.903730749836107,115,2006-SAMU-440-01,Samuels & Son Seafood,2006-SAMU-440-01,Samuels & Son Seafood,Complete,2008-04-15T00:00:00.000Z,Regulation,0,0,3,3,0,0,0,0,0,0
-75.249349321480864,39.982945270858146,116,2006-OVER-462-01,Overbrook School for the Blind,2006-OVER-462-01,Overbrook School for the Blind,Verified,2007-09-06T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.248132925059295,39.906908062763797,117,2007-GYMN-470-01,Gymnasium Addition & Major Renovation,2007-GYMN-470-01,Gymnasium Addition & Major Renovations,Verified,2008-03-12T00:00:00.000Z,Regulation,0,0,0,0,0,0,0,0,1,0
-74.973775499005967,40.106887601998601,118,2007-DAVI-477-01,David Tours & Travel,2007-DAVI-477-01,David Tours & Travel,Construction,2012-06-25T15:11:11.000Z,Regulation,0,1,4,0,0,0,0,0,0,0
-75.226950462924037,40.03394726565773,119,2006-SHEL-413-01,Sheldon Crossing Carriage Homes,2006-SHEL-413-01,Sheldon Crossing Carriage Homes,Construction,2009-06-19T00:00:00.000Z,Regulation,0,0,0,0,0,0,0,1,1,0
-75.063190576250079,40.032730245281144,120,2006-TACO-337-01,Kentucky Fried Chicken/Taco Bell,2006-TACO-337-01,Kentucky Fried Chicen/Taco Bell,Verified,2007-09-07T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.099857273184185,40.035370880942338,121,2007-BENC-482-01,Ben City Shopping Center,2007-BENC-482-01,Ben City Shopping Center,Complete,2008-07-23T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,1,0
